Name;TOA (UTC+3);TOA (UTC+0);Illuminated;RTC;OBC On/Off;RM0 On/Off;RM1 On/Off;OSS On/Off;Sensors On/Off;SDR On/Off;N/A 0;N/A 1;Guard flag OBC;Guard flag RM0;Guard flag RM1;Guard flag OSS;Guard flag Sensors;Guard flag SDR;N/A 2;N/A 3;System Bus Voltage [mV];System Bus Current [mA];BA Charge [mA/h];Current on OBC [mA];Current on RM1 [mA];Current on RМ2 [mA];Current on OSS [mA];Current on Sensors [mA];Current on SDR [mA];Min Temp BA [C];Max Temp BA [C];Current from SP1 [mA];Current from SP2 [mA];Current from SP3 [mA];Current from SP4 [mA];Bus voltage SP;BA discharge On/Off 72;BA discharge On/Off 73;BA discharge On/Off 74;BA discharge On/Off 75;BA discharge On/Off 76;BA discharge On/Off 77;N/A 4;N/A 5;BA charge On/Off 72;BA charge On/Off 73;BA charge On/Off 74;BA charge On/Off 75;BA charge On/Off 76;BA charge On/Off 77;N/A 6;N/A 7;BA Charge %;Packet (HEX)
Polytech_U1;2022-08-30-03:56:52;2022-08-30-00:56:52;1;115533;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;200;400;0;0;60;0;0;0;-6;0;140;560;0;0;4900;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024d9b41c4362b705ba5a0096ff0a4dc30104008f0404000003000000fa00071c0000c4303019
Polytech_U1;2022-08-30-03:57:06;2022-08-30-00:57:06;1;115533;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;200;400;0;0;60;0;0;0;-6;0;140;560;0;0;4900;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024d9b41c4362b705ba5a0096ff0a4dc30104008f0404000003000000fa00071c0000c4303019
Polytech_U1;2022-08-30-03:57:52;2022-08-30-00:57:52;1;115588;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;250;400;0;0;60;0;0;0;-6;0;120;360;20;0;4875;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec02497ed1c4362b805525c0096ff0a84c30104008f0504000003000000fa0006120100c3303019
Polytech_U1;2022-08-30-03:57:52;2022-08-30-00:57:52;1;115588;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;250;400;0;0;60;0;0;0;-6;0;120;360;20;0;4875;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec02497ed1c4362b805525c0096ff0a84c30104008f0504000003000000fa0006120100c3303019
Polytech_U1;2022-08-30-03:57:52;2022-08-30-00:57:52;1;115588;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;250;400;0;0;60;0;0;0;-6;0;120;360;20;0;4875;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec02497ed1c4362b805525c0096ff0a84c30104008f0504000003000000fa0006120100c3303019
Polytech_U1;2022-08-30-03:58:52;2022-08-30-00:58:52;1;115643;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7100;0;400;0;0;60;0;0;0;-6;0;140;60;0;0;4875;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec0240e261d4362b905ea5d0096ff0abbc30104008e0004000003000000fa0007030000c3303019
Polytech_U1;2022-08-30-03:58:52;2022-08-30-00:58:52;1;115643;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7100;0;400;0;0;60;0;0;0;-6;0;140;60;0;0;4875;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec0240e261d4362b905ea5d0096ff0abbc30104008e0004000003000000fa0007030000c3303019
Polytech_U1;2022-08-30-03:58:52;2022-08-30-00:58:52;1;115643;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7100;0;400;0;0;60;0;0;0;-6;0;140;60;0;0;4875;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec0240e261d4362b905ea5d0096ff0abbc30104008e0004000003000000fa0007030000c3303019
Polytech_U1;2022-08-30-04:36:37;2022-08-30-01:36:37;1;117911;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7300;-100;600;0;0;60;0;0;0;0;2;0;100;0;0;4850;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024ad01264362e105aa9d0095ff0a97cc01040092fe06000003000000000200050000c2303019
Polytech_U1;2022-08-30-04:36:37;2022-08-30-01:36:37;1;117911;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7300;-100;600;0;0;60;0;0;0;0;2;0;100;0;0;4850;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024ad01264362e105aa9d0095ff0a97cc01040092fe06000003000000000200050000c2303019
Polytech_U1;2022-08-30-04:36:37;2022-08-30-01:36:37;1;117911;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7300;-100;600;0;0;60;0;0;0;0;2;0;100;0;0;4850;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024ad01264362e105aa9d0095ff0a97cc01040092fe06000003000000000200050000c2303019
Polytech_U1;2022-08-30-04:37:38;2022-08-30-01:37:38;1;117966;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7350;50;300;0;0;80;0;0;0;0;2;0;400;0;0;4875;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;50;01027ec0241c39264362e205429f0095ff0acecc010400930103000004000000000200140000c3303032
